,,,,,,,,,,,,,,,,,,,,,
31/05/25,b2s6 check scouting after Lamdex on 28 -29 May 2025,,,,,,,,,,,,,,,,,,,,
insect pests ,"fail ,3 green vegetable bugs adults and their 2 nymphals found, latania scales on leaves",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
02/06/25,b2s7 check scouting after Benzoprid,,,,,,,,,,,,,,,,,,,,
insect pests,"fail, green vegetable bugs 4 adults ,2 nymhals ,eggs",,,,,,,,,,,,,,,,,,,,
,recommend an insecticides to control,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
02/03/25,b2s8 check scouting aftre lamdex spray,,,,,,,,,,,,,,,,,,,,
insect pests,"fail ,2 green vegetable bugs",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/05/25,b2s1a check scouting after lamdex,,,,,,,,,,,,,,,,,,,,
insect pests,"pass, only unhetched eggs of green vegetable bugs found",,,,,,,,,,,,,,,,,,,,
diseases,"pass,1 plant affected with phythophthora root rot ",,,,,,,,,,,,,,,,,,,,
basin weeds,"pass,very clean",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"fail ,to be actioned before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
03/06/25,b2s1b daily scouting after lamdex,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
mowing,fail,,,,,,,,,,,,,,,,,,,,
pruning staking,fail,,,,,,,,,,,,,,,,,,,,
leaf colour ,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
dead plants ,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04/06/25,b2s3 daily scouting ,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial ,branch blight on few plants",,,,,,,,,,,,,,,,,,,,
basin weeds,pass weeds regrowth,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,fail,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
pruning,"fail, to be actioned before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plants growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
dead plants,"partial ,3plants",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowers,partial,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
04/06/25,b2s2 daily scouting ,,,,,,,,,,,,,,,,,,,,
insect pests ,pass,,,,,,,,,,,,,,,,,,,,
diseases,"partial, branch blight and stem canker on 6 plants",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
pruning,fail to be pruned before main flowering starts,,,,,,,,,,,,,,,,,,,,
staking,"pass ,1 plant need support",,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plants growth,partial,,,,,,,,,,,,,,,,,,,,
soil nutrients,partial,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,partial,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,"partial, fungicides is highly required for b2s2",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
05/06/25,b2s5 daily scouting after lamdex spray on 04 June 2025,,,,,,,,,,,,,,,,,,,,
insect pests,"fail, green vegetable bugs [2] found on line 17 .",,,,,,,,,,,,,,,,,,,,
diseases,"partial ,phythophthora root rot ",,,,,,,,,,,,,,,,,,,,
basin weeds,pass weeds regrowth,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial grass recoveries,,,,,,,,,,,,,,,,,,,,
mowing ,"pass ,extention is a fail which requires action",,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail, dry basins only",,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial ,compost manure will help in nutrients for b2s5",,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
05/06/25,b2s4 daily scouting after lamdex spray,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass [1],,,,,,,,,,,,,,,,,,,,
flowering,fail,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
09/06/25,B1S1 DAILY SCOUTING ,,,,,,,,,,,,,,,,,,,,
insect pests,"pass,some eggs of green vegetable bugs found in numbers",,,,,,,,,,,,,,,,,,,,
diseases,"pass, [1] plant extremely yellowish due to stem canker",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial, black jack requires action",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,"partial, incomplete",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
ph correct ,"6,8",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
09/06/25,b1s2 daily scouting afternoon ,,,,,,,,,,,,,,,,,,,,
insect pests,"pass, only few eggs of green vegetabla bug found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds ,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial, black jack recoveries",,,,,,,,,,,,,,,,,,,,
mowing,"partial ,grass recoveries",,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
contours,"fail ,to be slashed",,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail ,irrigation is highly required",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,N/A,,,,,,,,,,,,,,,,,,,,
pipes in good order,N/A,,,,,,,,,,,,,,,,,,,,
drippers,N/A,,,,,,,,,,,,,,,,,,,,
dead plants ,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
11/06/25,"b2s7 daily scouting, morning",,,,,,,,,,,,,,,,,,,,
insect pests ,"fail, some green vegetable bugs found [6] adults and 2 nymphals",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,grass regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"partial,incomplete",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail ,to be irrigated",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,recommend prune before main flowering and also to help in reducing pests hosting,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
12/06/25,b2s1a daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"fail,to be actioned before main flowering",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"partial,due to showers of night",,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
12/06/25,b2s1b daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,"partial,inprogress",,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"partial,",,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
fire guard,"partial, inside was slashed but outside the fence is a fail ",,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
12/06/25,b2s8 daily scouting ,,,,,,,,,,,,,,,,,,,,
insect pest,"fail,1 green vegetable bug 3 nyphs at first instar stage",,,,,,,,,,,,,,,,,,,,
diseases,"partial,stem canker to be controlled",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"partial,due to showers of night",,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
dead plants,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
fire guard,"fail ,to be actioned before hot wethers",,,,,,,,,,,,,,,,,,,,
health status,"partial,stem canker to be controlled",,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
pruning,partial incomplete field,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
13/06/25,b2s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,partial,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,"pass ,shrubs regrowth",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial, yellowish of some plants",,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
wet soil condition,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
fire guard,pass,,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
13/06/25,b2s3 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,"partial,weeds regrowth",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,"pass,inaccessibles fail",,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial,compost manure is inprogress",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
fire guard,fail,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
13/06/25,b2s4 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth ,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
fire guard,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
14/06/25,b2s5 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial,grass recoveries",,,,,,,,,,,,,,,,,,,,
mowing,"partial,grass recoveries and shrubs at extention",,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,"partial,compost manure is required",,,,,,,,,,,,,,,,,,,,
wet soil condition,partial due to irrigation tank,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
fire guard,"fail,to be actioned before August , amonth of fire out breaks",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
17/06/25,b1s1 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail,2 green vegetable bugs adults and unhetched eggs ,black citrus aphids on few flowers ,felted coccid on leaves",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,"partial ,black jack need action",,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,"pass ,early fowers are start",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,partial,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,no,,,,,,,,,,,,,,,,,,,,
pipes in good order,no,,,,,,,,,,,,,,,,,,,,
drippers,no,,,,,,,,,,,,,,,,,,,,
fire guard,fail,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
contours,fail,,,,,,,,,,,,,,,,,,,,
,leaf burn on 2 plants starts,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
18/06/25,b2s7 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail,2 green vegetable bugs and their unhetched eggs",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,no,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass [1],,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail, irrigation cycles should continues",,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
fire guard,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,partial,,,,,,,,,,,,,,,,,,,,
health status ,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
18/06/25,b1s2 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests,"fail ,1green vegetables bug found",,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,partial,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,fail to be irrigated,,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pruning,pass,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
fire guard,fail,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,no,,,,,,,,,,,,,,,,,,,,
pipes in good order,no,,,,,,,,,,,,,,,,,,,,
drippers,no,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial,few early flowers",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
19/06/25,b2s6 daily scouting diagonal,,,,,,,,,,,,,,,,,,,,
insectpests,"fail ,3green vegetable bug adults found",,,,,,,,,,,,,,,,,,,,
diseases,partial,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,no,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail ,to be irrigated",,,,,,,,,,,,,,,,,,,,
soil nutrients,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
pruning,partial,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
fire guard,fail,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial ,early flowers are few",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
20/06/25,b2s8 daily scouting,,,,,,,,,,,,,,,,,,,,
insect pests diseases,"pass,3 green vegetable bugs found",,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail ,the field is dry",,,,,,,,,,,,,,,,,,,,
soil nutrients,partial,,,,,,,,,,,,,,,,,,,,
plant growth,partial,,,,,,,,,,,,,,,,,,,,
leaf colour,partial,,,,,,,,,,,,,,,,,,,,
pruning,"partial ,inprogress",,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering ,"partial,few early flowers",,,,,,,,,,,,,,,,,,,,
health status,partial,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
21/06/25,b2s1a ,,,,,,,,,,,,,,,,,,,,
insect pests,pass,,,,,,,,,,,,,,,,,,,,
diseases,pass,,,,,,,,,,,,,,,,,,,,
basin weeds,pass,,,,,,,,,,,,,,,,,,,,
basin formation,N/A,,,,,,,,,,,,,,,,,,,,
inrow slashing,pass,,,,,,,,,,,,,,,,,,,,
mowing,pass,,,,,,,,,,,,,,,,,,,,
pruning,fail,,,,,,,,,,,,,,,,,,,,
staking,pass,,,,,,,,,,,,,,,,,,,,
wet soil condition,"fail, the field is dry",,,,,,,,,,,,,,,,,,,,
soil nutrients,pass,,,,,,,,,,,,,,,,,,,,
plant growth,pass,,,,,,,,,,,,,,,,,,,,
leaf colour,pass,,,,,,,,,,,,,,,,,,,,
pipes correctly burried,pass,,,,,,,,,,,,,,,,,,,,
pipes in good order,pass,,,,,,,,,,,,,,,,,,,,
drippers,pass,,,,,,,,,,,,,,,,,,,,
dead plants,pass,,,,,,,,,,,,,,,,,,,,
flowering,"partial, ",,,,,,,,,,,,,,,,,,,,
health status,pass,,,,,,,,,,,,,,,,,,,,
,by precious,,,,,,,,,,,,,,,,,,,,
21/06/25,b2s1b,,,,,,,,,,,,,,,,,,,,
